Vehicle ID,Fuel ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Engine Type,Engine Size,Engine Cylinder Count,Engine/Motor(s) Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Electric-Only Range,Total Range,PHEV Type,Notes,Drivetrain,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles added per hour of charging),Charging Speed Level 2 (miles added per hour of charging),Charging Speed DC Fast (miles added per hour of charging),Battery Voltage,Battery Capacity Amp Hours,Battery Capacity kWh,Seating Capacity,Start Time,Meter Start (Wh),Meter End(Wh),Meter Total(Wh),Total Duration (s),Charger_name
13723,45,377,29,Q5 quattro/Sportback/S-Line,2025,,,,,,25-26,SI,2.0L,4.0,2.0L I4,Audi,https://www.audiusa.com/us/web/en.html,SUV,HYBR,Hybrid Electric,,,,Includes S-Line and Sportback S-Line models,AWD,,,,,,,,,,24.08.2018 19:50,16,16,0,0,Charger_91
13973,41,377,29,Q6 e-tron,2025,,,96-104,,,,e-motor,225 kW,,225 kW electric motor,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,298-321,,,"Includes Ultra and models with 19"" and 20"" wheels",RWD,,,,,,661.0,151.6,100.2,,24.08.2018 20:50,59,100259,100200,360720,Charger_86
13831,41,377,29,Q6 e-tron quattro,2025,,,95-103,,,,e-motor,140 and 280 kW,,140 and 280 kW electric motors,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,295-319,,,"Includes Sportback and models with 19"" and 20"" wheels",AWD,,,,,,662.0,151.0,100.0,,24.08.2018 21:50,16,100016,100000,360000,Charger_22
13724,45,377,29,Q7,2025,,,,18.0,23.0,20,SI,3.0L,6.0,3.0L V6,Audi,https://www.audiusa.com/us/web/en.html,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,24.08.2018 22:50,32,32,0,0,Charger_75
13832,41,377,29,Q8 e-tron quattro,2025,,,74-78,,,,e-motor,141 and 172 kW,,141 and 172 kW electric motors,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,254-272,,,"Includes Sportback model
",AWD,9.6-19.2,170,3.0,44,315.0,397.0,288.0,114.3,5,24.08.2018 23:50,76,114376,114300,411480,Charger_33
13725,45,377,29,Q8 quattro,2025,,,,17.0,23.0,19,SI,3.0L,6.0,3.0L V6,Audi,https://www.audiusa.com/us/web/en.html,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 00:50,57,57,0,0,Charger_56
13727,45,377,27,RS 6 Avant,2025,,,,14.0,21.0,17,SI,4.0L,8.0,4.0L V8,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 01:50,94,94,0,0,Charger_38
13728,45,377,27,RS7,2025,,,,14.0,21.0,17,SI,4.0L,8.0,4.0L V8,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 02:50,36,36,0,0,Charger_40
13726,45,377,29,RS Q8 Performance,2025,,,,14.0,20.0,16,SI,4.0L,8.0,4.0L V8,Audi,https://www.audiusa.com/us/web/en.html,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 03:50,61,61,0,0,Charger_6
13729,45,377,27,S6,2025,,,,19.0,27.0,22,SI,2.9L,6.0,2.9L V6,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 04:50,54,54,0,0,Charger_95
13730,45,377,27,S7,2025,,,,19.0,27.0,22,SI,2.9L,6.0,2.9L V6,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 05:50,81,81,0,0,Charger_60
13731,45,377,27,S8,2025,,,,15.0,24.0,18,SI,4.0L,8.0,4.0L V8,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 06:50,91,91,0,0,Charger_27
13974,41,377,27,S e-tron GT,2025,,,88-90,,,,e-motor,415 kW and 176/252 kW (x2),,415 kW and 252 kW (x2) or 176 kW (x2) electric motors,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,ELEC,Electric,294-300,,,"Includes models with 20"" and 21"" wheels",AWD,,,,,,727.0,144.4,105.0,,25.08.2018 07:50,30,105030,105000,378000,Charger_9
13834,41,377,29,SQ6 e-tron,2025,,,89-91,,,,e-motor,140 or 280 kW (x2),,140 or 280 kW electric motors (x2),Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,275-283,,,Includes Sportback model,AWD,,,,,,662.0,151.0,100.0,,25.08.2018 08:50,79,100079,100000,360000,Charger_45
13835,41,377,29,SQ8 e-tron,2025,,,60-70,,,,e-motor,138 and 157 kW,,138 and 157 kW electric motors,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,208-242,,,"Includes Sportback and models with 20"", 21"", and 22"" wheels",AWD,,,,,,397.0,288.0,114.3,,25.08.2018 09:50,39,114339,114300,411480,Charger_6
13941,57,355,29,Bentayga Hybrid,2025,,,42,19.0,23.0,21,SI,3.0L,6.0,3.0L V6; 100 kW electric motor,Bentley Motors,http://www.bentleymotors.com,SUV,PHEV,Plug-in Hybrid Electric,20,440,Blended,,AWD,,,,,,374.0,48.2,18.0,,25.08.2018 10:50,29,18029,18000,64800,Charger_39
13732,45,211,27,330i Sedan,2025,,,,28.0,35.0,31,SI,2.0L,4.0,2.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,,RWD,,,,,,,,,,25.08.2018 11:50,14,14,0,0,Charger_36
13733,45,211,27,330i xDrive Sedan,2025,,,,26.0,34.0,29,SI,2.0L,4.0,2.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 12:50,75,75,0,0,Charger_42
13734,45,211,27,430i Coupe/Convertible,2025,,,,,,30-31,SI,2.0L,4.0,2.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,"Includes Coupe, Gran Coupe, and Convertible models",RWD,,,,,,,,,,25.08.2018 13:50,58,58,0,0,Charger_11
13735,45,211,27,430i xDrive Coupe/Convertible,2025,,,,,,28-30,SI,2.0L,4.0,2.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,"Includes Coupe, Gran Coupe, and Convertible models",AWD,,,,,,,,,,25.08.2018 14:50,77,77,0,0,Charger_29
13736,45,211,27,530i Sedan,2025,,,,28.0,35.0,31,SI,2.0L,4.0,2.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,,RWD,,,,,,,,,,25.08.2018 15:50,2,2,0,0,Charger_74
13737,45,211,27,530i xDrive Sedan,2025,,,,27.0,35.0,30,SI,2.0L,4.0,2.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 16:50,65,65,0,0,Charger_63
13738,45,211,27,540i xDrive Sedan,2025,,,,26.0,33.0,28,SI,3.0L,6.0,3.0L V6,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 17:50,33,33,0,0,Charger_46
13739,45,211,27,740i  Sedan,2025,,,,25.0,31.0,28,SI,3.0L,6.0,3.0L V6,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,,RWD,,,,,,,,,,25.08.2018 18:50,15,15,0,0,Charger_41
13740,45,211,27,740i  xDrive Sedan,2025,,,,24.0,31.0,27,SI,3.0L,6.0,3.0L V6,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 19:50,90,90,0,0,Charger_51
13741,45,211,27,760i xDrive Sedan,2025,,,,18.0,25.0,20,SI,4.4L,8.0,4.4L V8,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 20:50,78,78,0,0,Charger_82
13742,45,211,29,Alpina XB7,2025,,,,16.0,20.0,17,SI,4.4L,8.0,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,25.08.2018 21:50,46,46,0,0,Charger_66
13837,41,211,27,i4 eDrive35 Gran Coupe,2025,,,106-118,,,,e-motor,250 kW,,250 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,244-266,,,"Includes models with 18 and 19"" wheels",RWD,11,195,4.0,33,463.0,399.0,211.0,84.2,,25.08.2018 22:50,99,84299,84200,27556,Charger_24
13838,41,211,27,i4 eDrive40 Gran Coupe,2025,,,104-112,,,,e-motor,250 kW,,250 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,295-318,,,"Includes models with 18"" and 19"" wheels",RWD,11,195,4.0,33,463.0,399.0,211.0,84.2,5,25.08.2018 23:50,26,84226,84200,27556,Charger_59
13840,41,211,27,i4 M50 Gran Coupe,2025,,,80-94,,,,e-motor,190 and 230 kW,,190 and 230 kW electric motors,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,227-267,,,"Includes models with 19"" and 20"" wheels",4WD,11,196,4.0,33,463.0,376.0,281.0,105.7,5,26.08.2018 00:50,72,105772,105700,34592,Charger_24
13839,41,211,27,i4 xDrive40 Gran Coupe,2025,,,94-101,,,,e-motor,190 and 230 kW,,190 and 230 kW electric motors,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,268-287,,,"Includes models with 18"" and 19"" wheels",AWD,11,195,4.0,33,463.0,376.0,281.0,105.7,5,26.08.2018 01:50,88,105788,105700,34592,Charger_25
13841,41,211,27,i5 eDrive40 Sedan,2025,,,96-105,,,,e-motor,250 kW,,250 kW electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,271-295,,,"Includes models with 19"", 20"", and 21"" wheels",RWD,11,195,4.0,33,463.0,399.0,210.6,84.0,,26.08.2018 02:50,19,84019,84000,27490,Charger_96
13842,41,211,27,i5 M60 xDrive Sedan,2025,,,84-90,,,,e-motor,190 and 230 kW,,190 and 230 kW electric motors,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,239-253,,,"Includes models with 19"", 20"", and 21"" wheels",AWD,11,195,4.0,33,463.0,376.0,280.8,105.6,5,26.08.2018 03:50,48,105648,105600,34560,Charger_91
13843,41,211,27,i5 xDrive40 Sedan,2025,,,87-93,,,,e-motor,192 and 250 kW,,192 and 250 kW electric motors,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,248-266,,,"Includes models with 19"", 20"", and 21"" wheels",AWD,11,195,4.0,33,463.0,376.0,280.8,105.6,5,26.08.2018 04:50,49,105649,105600,34560,Charger_3
13844,41,211,27,i7 eDrive50 Sedan,2025,,,85-88,,,,e-motor,335 kW,,335 kW  electric motor,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,301-314,,,"Includes models with 19"", 20"", and 21"" wheels",RWD,11,195,4.0,33,412.0,376.0,280.8,105.6,5,26.08.2018 05:50,57,105657,105600,34560,Charger_10
13845,41,211,27,i7 M70 xDrive Sedan,2025,,,75-79,,,,e-motor,190 and 360 kW,,190 and 360 kW electric motors,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,268-285,,,"Includes models with 20"" and 21"" wheels",AWD,11,195,4.0,33,412.0,369.0,303.0,111.8,5,26.08.2018 06:50,9,111809,111800,36589,Charger_2
13846,41,211,27,i7 xDrive60 Sedan,2025,,,83-88,,,,e-motor,190 and 230 kW,,190 and 230 kW  electric motors,BMW,https://www.bmwusa.com,Sedan/Wagon,ELEC,Electric,296-311,,,"Includes models with 19"", 20"", and 21"" wheels",AWD,11,195,4.0,33,412.0,376.0,280.8,105.6,5,26.08.2018 07:50,11,105611,105600,34560,Charger_28
13847,41,211,29,iX M60,2025,,,76-77,,,,e-motor,190 and 360 kW,,190 and 360 kW electric motors,BMW,https://www.bmwusa.com,SUV,ELEC,Electric,284-285,,,"Includes models with 21"" and 22"" wheels",AWD,11,195,3.0,28,393.0,369.0,303.0,111.8,5,26.08.2018 08:50,59,111859,111800,36589,Charger_55
13848,41,211,29,iX xDrive40,2025,,,83-87,,,,e-motor,190 and 230 kW,,190 and 230 kW electric motors,BMW,https://www.bmwusa.com,SUV,ELEC,Electric,211-219,,,"Includes models with 20"", 21"", and 22"" wheels",AWD,11,195,3.0,28,393.0,369.0,303.0,111.8,5,26.08.2018 09:50,78,111878,111800,36589,Charger_67
13849,41,211,29,iX xDrive50,2025,,,81-83,,,,e-motor,190 and 230 kW,,190 and 230 kW electric motors,BMW,https://www.bmwusa.com,SUV,ELEC,Electric,302-309,,,"Includes models with 20"", 21"", and 22"" wheels",AWD,11,195,3.0,28,393.0,369.0,303.0,111.8,5,26.08.2018 10:50,69,111869,111800,36589,Charger_58
13743,45,211,27,M340i Sedan,2025,,,,27.0,33.0,29,SI,3.0L,4.0,3.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,,RWD,,,,,,,,,,26.08.2018 11:50,82,82,0,0,Charger_26
13744,45,211,27,M340i xDrive Sedan,2025,,,,26.0,33.0,29,SI,3.0L,4.0,3.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,26.08.2018 12:50,7,7,0,0,Charger_83
13745,45,211,27,M440i Coupe/Convertible,2025,,,,,,29-30,SI,3.0L,4.0,3.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,"Includes Coupe, Gran Coupe, and Convertible models",RWD,,,,,,,,,,26.08.2018 13:50,32,32,0,0,Charger_91
13746,45,211,27,M440i xDrive Coupe/Convertible,2025,,,,,,28-29,SI,3.0L,4.0,3.0L I4,BMW,https://www.bmwusa.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,"Includes Coupe, Gran Coupe, and Convertible models",AWD,,,,,,,,,,26.08.2018 14:50,82,82,0,0,Charger_86
13748,45,211,29,X3 M50i xDrive,2025,,,,25.0,30.0,27,SI,3.0L,4.0,3.0L I4,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,26.08.2018 15:50,1,1,0,0,Charger_55
13747,45,211,29,X3 xDrive30i,2025,,,,27.0,33.0,29,SI,2.0L,4.0,2.0L I4,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,26.08.2018 16:50,38,38,0,0,Charger_5
13749,45,211,29,X4 M40i,2025,,,,22.0,26.0,23,SI,3.0L,6.0,3.0L V6,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,26.08.2018 17:50,73,73,0,0,Charger_42
13752,45,211,29,X5 M60i xDrive,2025,,,,17.0,22.0,19,SI,4.4L,8.0,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,26.08.2018 18:50,34,34,0,0,Charger_53
13753,45,211,29,X5 M Competition,2025,,,,13.0,18.0,15,SI,4.4L,8.0,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,26.08.2018 19:50,60,60,0,0,Charger_67
13750,45,211,29,X5 sDrive40i,2025,,,,23.0,27.0,25,SI,3.0L,6.0,3.0L V6,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,RWD,,,,,,,,,,26.08.2018 20:50,63,63,0,0,Charger_26
13751,45,211,29,X5 xDrive40i,2025,,,,23.0,27.0,25,SI,3.0L,6.0,3.0L V6,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,26.08.2018 21:50,16,16,0,0,Charger_50
13755,45,211,29,X6 M60i xDrive,2025,,,,17.0,22.0,19,SI,4.4L,8.0,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,26.08.2018 22:50,86,86,0,0,Charger_84
13756,45,211,29,X6 M Competition,2025,,,,13.0,18.0,15,SI,4.4L,8.0,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,26.08.2018 23:50,33,33,0,0,Charger_85
13754,45,211,29,X6 xDrive40i,2025,,,,23.0,26.0,24,SI,3.0L,6.0,3.0L V6,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,27.08.2018 00:50,52,52,0,0,Charger_66
13757,45,211,29,X7 M60i xDrive,2025,,,,16.0,20.0,18,SI,4.4L,8.0,4.4L V8,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,27.08.2018 01:50,14,14,0,0,Charger_44
13758,45,211,29,X7 xDrive40i,2025,,,,20.0,24.0,22,SI,3.0L,6.0,3.0L V6,BMW,https://www.bmwusa.com,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,27.08.2018 02:50,60,60,0,0,Charger_90
13942,57,211,29,XM,2025,,,46,12.0,17.0,14,SI,4.4L,8.0,4.4L V8; 145 kW electric motor,BMW,https://www.bmwusa.com,SUV,PHEV,Plug-in Hybrid Electric,31,300,Blended,,AWD,7.4,,2.0,11,,317.0,93.0,29.5,5,27.08.2018 03:50,56,29556,29500,14351,Charger_4
13850,41,499,27,Nevera,2025,52.0,54.0,53,,,,e-motor,226 (x2) and 450 (x2) kW,,226 (x2) and 450 (x2) kW electric motors,Bugatti Rimac,,Sedan/Wagon,ELEC,Electric,204,,,,4WD,,,,,,800.0,192.0,153.6,,27.08.2018 04:50,39,153639,153600,552960,Charger_73
13711,11,235,29,Encore GX FWD,2025,22.0,23.0,22,30.0,31.0,30,SI,1.2L,3.0,1.2L I3,Buick,http://www.buick.com,SUV,E85_GSLN,Ethanol (E85),,,,,FWD,,,,,,,,,,27.08.2018 05:50,60,60,0,0,Charger_10
13712,11,235,27,Envista,2025,20.0,24.0,22,28.0,32.0,30,SI,1.2L,3.0,1.2L I3,Buick,http://www.buick.com,Sedan/Wagon,E85_GSLN,Ethanol (E85),,,,,FWD,,,,,,,,,,27.08.2018 06:50,68,68,0,0,Charger_66
13975,41,231,29,Lyric,2025,100.0,83.0,92,,,,e-motor,255 kW electric motor,,255 kW electric motor,Cadillac,http://www.cadillac.com,SUV,ELEC,Electric,326,,,,RWD,11.5-19.2,190,4.0,29,401.0,400.0,290.0,116.0,5,27.08.2018 07:50,77,116077,116000,417600,Charger_93
13976,41,231,29,Lyric AWD,2025,,,86-89,,,,e-motor,155 and 220 kW,,155 and 220 kW electric motors,Cadillac,http://www.cadillac.com,SUV,ELEC,Electric,303-319,,,Includes models with 11 kW or 19 kW charger,AWD,11.5-19.2,190,4.0,29,401.0,403.0,290.0,116.9,5,27.08.2018 08:50,91,116991,116900,420840,Charger_29
13851,41,215,29,Blazer EV AWD,2025,102.0,87.0,95,,,,e-motor,67 and 180 kW,,67 and 180 kW  electric motors,Chevrolet,http://www.chevrolet.com,SUV,ELEC,Electric,283,,,,AWD,11.5,150-190,3.0,33,342.0,336.0,290.0,97.4,5,27.08.2018 09:50,58,97458,97400,30490,Charger_13
13977,41,215,29,Blazer EV RWD,2025,106.0,85.0,95,,,,e-motor,255 kW,,255 kW electric motor,Chevrolet,http://www.chevrolet.com,SUV,ELEC,Electric,334,,,,RWD,11.5,150-190,3.0,33,342.0,400.0,290.0,116.0,5,27.08.2018 10:50,31,116031,116000,36313,Charger_85
13911,45,215,27,Corvette E-RAY,2025,,,,16.0,24.0,19,SI,6.2L,8.0,6.2L V8,Chevrolet,http://www.chevrolet.com,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,,27.08.2018 11:50,47,47,0,0,Charger_66
13979,41,215,29,Equinox EV AWD,2025,,,96-103,,,,e-motor,180 kW or 67 and 180 kW,,180 kW or 67 and 180 kW electric motors,Chevrolet,http://www.chevrolet.com,SUV,ELEC,Electric,307,,,,AWD,11.5,50,4.0,34,356.0,336.0,290.0,97.4,5,27.08.2018 12:50,44,97444,97400,30490,Charger_20
13978,41,215,29,Equinox EV FWD,2025,117.0,100.0,109,,,,e-motor,67 and 180 kW,,67 and 180 kW electric motors,Chevrolet,http://www.chevrolet.com,SUV,ELEC,Electric,319,,,,FWD,11.5,50,4.0,34,356.0,336.0,290.0,97.4,5,27.08.2018 13:50,43,97443,97400,30490,Charger_27
13707,35,215,25,Silverado 2WD,2025,,,,23.0,29.0,26,CI,3.0L,6.0,3.0L V6,Chevrolet,http://www.chevrolet.com,Pickup,BD,Biodiesel (B20),,,,,RWD,,,,,,,,,,27.08.2018 14:50,50,50,0,0,Charger_69
13713,11,215,25,Silverado 4WD,2025,11.0,14.0,12,15.0,19.0,17,SI,5.3L,8.0,5.3L V8,Chevrolet,http://www.chevrolet.com,Pickup,E85_GSLN,Ethanol (E85),,,,Includes models with mud terrain tires,4WD,,,,,,,,,,27.08.2018 15:50,32,32,0,0,Charger_49
13708,35,215,25,Silverado 4WD,2025,,,,,,22-24,CI,3.0L,6.0,3.0L V6,Chevrolet,http://www.chevrolet.com,Pickup,BD,Biodiesel (B20),,,,Includes Sport Mode models and models with mud terrain tires,4WD,,,,,,,,,,27.08.2018 16:50,43,43,0,0,Charger_51
13980,41,215,25,Silverado EV,2025,,,64-70,,,,e-motor,189 kW (x2),,189 kW electric motors (x2),Chevrolet,http://www.chevrolet.com,Pickup,ELEC,Electric,390-492,,,Includes 5WT and 8WT models with 11 or 19 kW charger,4WD,19,350,2.0,36,523.0,470.0,290.0,136.3,5,27.08.2018 17:50,30,136330,136300,25825,Charger_49
13714,11,215,29,Trailblazer FWD,2025,22.0,23.0,22,30.0,31.0,30,SI,1.2L,3.0,1.2L I3,Chevrolet,http://www.chevrolet.com,SUV,E85_GSLN,Ethanol (E85),,,,,FWD,,,,,,,,,,27.08.2018 18:50,16,16,0,0,Charger_59
13715,11,215,27,Trax,2025,21.0,24.0,22,28.0,32.0,30,SI,1.2L,3.0,1.2L I3,Chevrolet,http://www.chevrolet.com,Sedan/Wagon,E85_GSLN,Ethanol (E85),,,,,FWD,,,,,,,,,,27.08.2018 19:50,25,25,0,0,Charger_7
13943,57,223,9,Pacifica Hybrid,2025,,,82,29.0,30.0,30,SI,3.6L,6.0,"3.6L V6;
89 kW electric motor",Chrysler,http://www.chrysler.com,Van,PHEV,Plug-in Hybrid Electric,32,520,Blended,,FWD,6.6,,3.0,16,,360.0,47.0,16.9,7,27.08.2018 20:50,22,16922,16900,9218,Charger_21
13944,57,225,29,Hornet PHEV AWD,2025,,,77,29.0,29.0,29,SI,1.3L,4.0,"1.3L I4;
89 kW electric motor",Dodge,http://www.dodge.com,SUV,PHEV,Plug-in Hybrid Electric,33,360,Blended,,AWD,6.6,,3.0,15,,304.0,51.0,15.5,5,27.08.2018 21:50,26,15526,15500,8454,Charger_55
